Time, Song, Artist, Album ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:25,Me And Bobby McGee,LeAnn Rimes,Leann Rimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:30,Private Eyes,Sleeping At Last,Covers, Vol. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:33,A Natural Woman (You Make Me Feel Like;Acoustic),Amber Leigh Irish,(You Make Me Feel Like) A Natural Woman [Acoustic] - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:37,I Have Met My Love Today (Recorded At Rca Studio A, Nashville),John Prine,I Have Met My Love Today (Recorded At Rca Studio A, Nashville),,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:39,After The Gold Rush,The Time And Space Machine,Set Phazer To Stun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:42,Ventilator Blues,"Clarence ""Gatemouth"" Brown",All Blues'd Up: Songs of the Rolling Stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:48,Don't Stop Me Now,The Regrettes,Don't Stop Me Now - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:52,You Can Call Me Al,Eddie Berman,Surrounded by the Sound: Ten Covers by Eddie Berman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:56,Heaven Is a Place on Earth,The Mayries,Heaven Is a Place on Earth - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:01,I'd Do Anything For Love (But I Won't Do That),Dom Fricot,I'd Do Anything For Love (But I Won't Do That) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:03,It's All Over Now,Bobby Womack & Bill Withers,Anthology: Bobby Womack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:07,Fish And Whistle,Lizzy Ellison & Pobre Yoko,Fish And Whistle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:11,Speed Of The Sound Of Loneliness,Valdy & Gary Fjellgaard,Contenders Two: Still In the Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:15,Bird On A Wire,K.D. Lang,Hymns of the 49th Parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:19,Sam Stone,Johnny Cash,Live from Austin, TX: Johnny Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:23,Wildflowers (Recorded At Spotify Studios Nyc),Miley Cyrus,Spotify Singles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:26,Jolene (Live),The Staves,Pine Hollow (Live) - EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:30,Simple Man (Acoustic),Shinedown,Leave a Whisper (Bonus Track Version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 20:43,Cello Sonata In C Sharp Minor, Op. 134 (Completed By Vladimir Blok),Yan Levionnois,Cello Solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 9:35,The Sound Of Silence,Simon & Garfunkel,The Concert In Central Park (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 9:40,Cecilia,Simon & Garfunkel,Bridge Over Troubled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 9:45,Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 9:48,The Boxer,Simon & Garfunkel,Bridge Over Troubled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 9:53,Homeward Bound,Simon & Garfunkel,Parsley, Sage, Rosemary And Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 9:56,America,Simon & Garfunkel,Bookends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 9:59,April Come She Will,Simon & Garfunkel,Old Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:02,Scarborough Fair/Canticle,Simon & Garfunkel,Parsley, Sage, Rosemary And Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:04,Blues Run The Game,Simon & Garfunkel,This is Simon and Garfunkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:07,I Am A Rock,Simon & Garfunkel,Simon and Garfunkel's Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:10,At The Zoo,Simon & Garfunkel,Bookends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:12,The 59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,Parsley, Sage, Rosemary And Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:14,Kathy's Song,Simon & Garfunkel,Old Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:17,The Only Living Boy In New York,Simon & Garfunkel,Bridge Over Troubled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:22,Old Friends,Simon & Garfunkel,Old Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:24,For Emily, Whenever I May Find Her,Simon & Garfunkel,Parsley, Sage, Rosemary And Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:27,A Heart In New York,Simon & Garfunkel,The Concert In Central Park (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:30,El Condor Pasa (If I Could),Simon & Garfunkel,Bridge Over Troubled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:33,Old Friends,Simon & Garfunkel,Old Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:34,Wednesday Morning, 3 Am,Simon & Garfunkel,Wednesday Morning, 3 A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:34,Wednesday Morning, 3 A.M.,Simon & Garfunkel,Wednesday Morning, 3 A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:36,Wake Up Little Susie,Simon & Garfunkel,The Concert In Central Park (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:39,Baby Driver,Simon & Garfunkel,Bridge Over Troubled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:42,My Little Town,Simon & Garfunkel,Old Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:47,Overs,Simon & Garfunkel,Bookends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:48,Slip Slidin' Away,Simon & Garfunkel,The Concert In Central Park (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:53,Bleecker Street,Simon & Garfunkel,Wednesday Morning, 3 A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:56,The Dangling Conversation,Simon & Garfunkel,Parsley, Sage, Rosemary And Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 10:58,Anji,Simon & Garfunkel,Sounds of Silence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:03,American Tune,Simon & Garfunkel,The Concert In Central Park (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:05,The Times They Are A-Changin',Simon & Garfunkel,Wednesday Morning, 3 A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:11,Flowers Never Bend With The Rainfall,Simon & Garfunkel,Parsley, Sage, Rosemary And Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:14,Me And Julio Down By The Schoolyard (Live),Simon & Garfunkel,The Concert In Central Park (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:17,Sparrow,Simon & Garfunkel,Wednesday Morning, 3 A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:20,That Silver Haired Daddy Of Mine,Simon & Garfunkel,Live 1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:24,Cloudy,Simon & Garfunkel,Parsley, Sage, Rosemary And Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:25,Leaves That Are Green,Simon & Garfunkel,Old Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:28,Late In The Evening,Simon & Garfunkel,The Concert In Central Park (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:35,The Sun Is Burning,Simon & Garfunkel,Wednesday Morning, 3 A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:38,A Most Peculiar Man,Simon & Garfunkel,Sounds of Silence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 11:39,You Don't Know Where Your Interest Lies,Simon & Garfunkel,Bookends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
