time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,x_speed,y_speed
1626098410,89408b,51.47741803,-0.517120361,77.68274744,89.6205633,-4.22656,GFA003  ,FALSE,FALSE,FALSE,3243,175.26,205.74,1626098410,1626098410,77.681044,0.514444
1626098410,4009cc,50.81418829,-3.14704895,203.761391,268.8426669,0.32512,AMBER2  ,FALSE,FALSE,FALSE,3355,6096,6217.92,1626098410,1626098410,-203.719824,-4.115552
1626098410,c0173e,52.81923973,-1.226858956,253.4204614,323.5022987,0,ACA871  ,FALSE,FALSE,FALSE,5631,9753.6,9913.62,1626098410,1626098410,-150.732092,203.719824
1626098410,43ec83,50.91174316,-1.50349385,108.6208031,205.2300098,5.52704,SLS2    ,FALSE,FALSE,FALSE,5402,6499.86,6637.02,1626098410,1626098410,-46.29996,-98.258804
1626098410,4ca741,51.73606226,0.123062134,105.2990339,303.8453403,-2.92608,RYR62UK ,FALSE,FALSE,FALSE,2002,1066.8,1112.52,1626098410,1626098410,-87.45548,58.646616
1626098410,400e4a,51.88712427,0.043106079,122.9822471,220.4193214,-7.47776,EXS95EU ,FALSE,FALSE,FALSE,5573,1089.66,1143,1626098410,1626098410,-79.73882,-93.628808
1626098410,4073df,51.47620767,-1.327362061,133.4870663,169.3396517,-4.22656,EZE25Q  ,FALSE,FALSE,FALSE,1415,2484.12,2491.74,1626098410,1626098410,24.693312,-131.18322
1626098410,43c8f4,52.75783733,-2.948808943,35.66028439,243.4349488,-0.65024,SYS86   ,FALSE,FALSE,FALSE,,160.02,205.74,1626098410,1626098410,-31.895528,-15.947764
1626098410,3990c0,53.33047485,-2.317487444,105.6164933,207.5635693,11.70432,FHEGA   ,FALSE,FALSE,FALSE,2273,876.3,922.02,1626098410,1626098410,-48.87218,-93.628808
1626098410,a95881,53.80673218,-3.007821219,253.4930314,107.4788821,0,CKS203  ,FALSE,FALSE,FALSE,6250,12496.8,12793.98,1626098410,1626098410,241.78868,-76.137712
1626098410,400960,51.48092651,-0.81751643,104.6485824,120.0942415,-1.30048,SHT9J   ,FALSE,FALSE,FALSE,7735,1325.88,1371.6,1626098410,1626098410,90.542144,-52.473288
1626098410,4ca84b,51.37509621,-2.921524048,93.79966234,83.0698665,-4.22656,RYR5CM  ,FALSE,FALSE,FALSE,7463,906.78,952.5,1626098410,1626098410,93.114364,11.317768
1626098410,398567,51.40480042,-1.584406672,243.2428109,109.3929829,0.32512,AFR84UW ,FALSE,FALSE,FALSE,1172,11887.2,12115.8,1626098410,1626098410,229.442024,-80.767708
1626098410,4077da,51.84361267,-1.351466823,51.40837631,198.0723221,0.32512,GCLDK   ,FALSE,FALSE,FALSE,,472.44,510.54,1626098396,1626098405,-15.947764,-48.87218
1626098410,4078b8,51.24568176,-0.476791794,142.8830587,205.8269821,1.6256,BAW81   ,FALSE,FALSE,FALSE,2026,1859.28,1912.62,1626098410,1626098410,-62.247724,-128.611
1626098410,4ca855,53.29811096,-2.745483398,226.2735018,20.49505985,0,RYR5AQ  ,FALSE,FALSE,FALSE,7460,12192,12458.7,1626098410,1626098410,79.224376,211.950928
1626098410,4d024c,50.58030985,1.170489337,216.7739073,318.1744968,-7.80288,FYL51F  ,FALSE,FALSE,FALSE,4060,12062.46,12313.92,1626098409,1626098410,-144.558764,161.535416
1626098410,407898,53.77281577,-3.139827953,258.6691755,295.1889937,2.27584,BAW31F  ,FALSE,FALSE,FALSE,6324,8892.54,9083.04,1626098410,1626098410,-234.07202,110.091016
1626098410,406f12,52.75991821,-0.39932251,50.73210836,239.5344551,1.95072,GLINZ   ,FALSE,FALSE,FALSE,36,243.84,251.46,1626098409,1626098410,-43.72774,-25.7222
1626098410,407b3c,52.44392395,-2.162399292,65.40726068,119.1859158,0.32512,GTTEA   ,FALSE,FALSE,FALSE,404,685.8,723.9,1626098409,1626098410,57.103284,-31.895528
1626098410,49328a,52.20277405,-1.333847046,212.9232694,151.5773585,5.20192,NJE340B ,FALSE,FALSE,FALSE,6321,11978.64,12237.72,1626098410,1626098410,101.345468,-187.257616
1626098410,43ecf5,51.32084656,0.315560006,100.8323363,102.9727064,9.42848,ORT25J  ,FALSE,FALSE,FALSE,2053,1356.36,1402.08,1626098410,1626098410,98.258804,-22.635536
1626098410,403321,51.42054749,-0.891896841,47.39869375,64.2692944,-0.32512,,FALSE,FALSE,FALSE,,472.44,487.68,1626098409,1626098409,42.698852,20.57776
1626098410,4ca9cd,53.67705782,-4.901194853,181.307028,239.2871723,-9.7536,RYR35QU ,FALSE,FALSE,FALSE,7543,4594.86,4724.4,1626098410,1626098410,-155.876532,-92.59992
1626098410,40097d,51.47662354,-0.698448387,96.20652992,89.38723428,-5.20192,BAW863Z ,FALSE,FALSE,FALSE,6620,830.58,876.3,1626098410,1626098410,96.201028,1.028888
1626098410,4009c9,50.95422363,-3.813146643,165.6549621,338.6942164,7.47776,CRIMSON1,FALSE,FALSE,FALSE,1761,7178.04,7322.82,1626098410,1626098410,-60.189948,154.3332
1626098410,406ae8,50.78713989,-3.409027924,228.5689223,4.388814836,0.32512,TOM6K   ,FALSE,FALSE,FALSE,5411,12192,12466.32,1626098410,1626098410,17.491096,227.898692
1626098410,a7ff6a,51.8780365,-3.717164736,258.6507585,98.6941776,0,UPS223  ,FALSE,FALSE,FALSE,5204,12496.8,12793.98,1626098410,1626098410,255.678668,-39.097744
1626098410,4aca45,51.78242829,0.155563354,226.8283881,229.0463372,3.2512,NAX3WE  ,FALSE,FALSE,FALSE,1142,10995.66,11186.16,1626098410,1626098410,-171.309852,-148.674316
1626098410,a0f31d,54.39196053,-4.941766912,252.8470018,303.0434158,0,N160QS  ,FALSE,FALSE,FALSE,2740,12192,12481.56,1626098410,1626098410,-211.950928,137.870992
1626098410,40621b,50.21731567,-4.749707674,243.640157,60.9453959,0,BAW246  ,FALSE,FALSE,FALSE,2376,10972.8,11186.16,1626098410,1626098410,212.979816,118.32212
1626098410,4ca7b9,52.57887268,-1.113586426,193.794544,331.802257,-8.77824,RYR20KC ,FALSE,FALSE,FALSE,5575,8122.92,8275.32,1626098410,1626098410,-91.571032,170.795408
1626098410,43eafb,50.29202271,-0.06490607,221.7307352,165.3511632,9.42848,MAATD   ,FALSE,FALSE,FALSE,512,8168.64,8321.04,1626098410,1626098410,56.074396,-214.523148
1626098410,40666b,51.477837,-2.59437561,136.2694086,261.5334073,-7.80288,EZY56KG ,FALSE,FALSE,FALSE,2756,2049.78,2125.98,1626098410,1626098410,-134.784328,-20.063316
1626098410,4079f8,51.29997253,0.881727064,62.27322839,77.11181487,-1.95072,AAAAA   ,FALSE,FALSE,FALSE,5050,312.42,327.66,1626098410,1626098410,60.704392,13.889988
1626098410,402900,52.64397055,-1.041346959,42.97994127,348.9590598,-0.65024,GTALR   ,FALSE,FALSE,FALSE,7000,609.6,632.46,1626098410,1626098410,-8.231104,42.184408
1626098410,484f72,53.6627655,-1.28704834,246.3026571,282.1783395,0,KLM671  ,FALSE,FALSE,FALSE,2105,10972.8,11170.92,1626098410,1626098410,-240.759792,51.958844
1626098420,43eafb,50.27250646,-0.056935903,223.3540252,165.3236069,10.07872,MAATD   ,FALSE,FALSE,FALSE,512,8275.32,8420.1,1626098420,1626098420,56.58884,-216.06648
1626098420,4079f8,51.3013916,0.890412202,61.54866151,73.98882252,-0.65024,AAAAA   ,FALSE,FALSE,FALSE,5050,304.8,320.04,1626098420,1626098420,59.16106,16.976652
1626098420,402900,52.64774129,-1.042602539,41.78096148,350.0737545,1.30048,GTALR   ,FALSE,FALSE,FALSE,7000,609.6,640.08,1626098420,1626098420,-7.202216,41.15552
1626098420,40666b,51.47606801,-2.613601685,137.3632915,261.3843518,-7.47776,EZY56KG ,FALSE,FALSE,FALSE,2756,1973.58,2049.78,1626098420,1626098420,-135.813216,-20.57776
1626098420,4ca7b9,52.59388733,-1.126785278,192.402056,331.9275131,-8.77824,RYR20KC ,FALSE,FALSE,FALSE,5575,8039.1,8191.5,1626098420,1626098420,-90.542144,169.76652
1626098420,40621b,50.22749044,-4.721077584,243.3907364,61.05125947,0,BAW246  ,FALSE,FALSE,FALSE,2376,10972.8,11186.16,1626098420,1626098420,212.979816,117.807676
1626098420,a0f31d,54.40383135,-4.973061301,252.8470018,303.0434158,0.32512,N160QS  ,FALSE,FALSE,FALSE,2740,12192,12481.56,1626098420,1626098420,-211.950928,137.870992
1626098420,4aca45,51.7691609,0.131072998,227.1169758,228.7652397,4.22656,NAX3WE  ,FALSE,FALSE,FALSE,1142,11033.76,11224.26,1626098420,1626098420,-170.795408,-149.703204
1626098420,4009c9,50.96855552,-3.822021484,166.3214239,338.5935006,7.47776,CRIMSON1,FALSE,FALSE,FALSE,1761,7254.24,7391.4,1626098420,1626098420,-60.704392,154.847644
1626098420,40097d,51.47671509,-0.684863941,92.08691298,89.67991518,-4.8768,BAW863Z ,FALSE,FALSE,FALSE,6620,784.86,830.58,1626098420,1626098420,92.085476,0.514444
1626098420,484f72,53.66728185,-1.322236903,245.7998143,282.2036365,0,KLM671  ,FALSE,FALSE,FALSE,2105,10972.8,11170.92,1626098420,1626098420,-240.245348,51.958844
1626098420,403321,51.4217881,-0.887756348,47.39869375,64.2692944,0,,FALSE,FALSE,FALSE,,480.06,495.3,1626098416,1626098416,42.698852,20.57776
